replicant;message_count;group;send_time;recieve_time
1;10000;control_normal;3181;3181
2;10000;control_normal;3314;3314
3;10000;control_normal;3358;3358
4;10000;control_normal;3286;3286
5;10000;control_normal;3334;3334
6;10000;control_normal;3144;3144
7;10000;control_normal;3114;3114
8;10000;control_normal;3211;3211
9;10000;control_normal;3284;3284
10;10000;control_normal;3156;3156
11;10000;control_normal;3220;3220
12;10000;control_normal;3271;3271
13;10000;control_normal;3260;3260
14;10000;control_normal;3208;3208
15;10000;control_normal;3281;3281
16;10000;control_normal;3073;3073
17;10000;control_normal;3379;3379
18;10000;control_normal;3091;3091
19;10000;control_normal;3349;3349
20;10000;control_normal;3178;3178
1;10000;hotpotato_normal;3360;3360
2;10000;hotpotato_normal;3271;3271
3;10000;hotpotato_normal;3354;3354
4;10000;hotpotato_normal;3200;3200
5;10000;hotpotato_normal;3200;3200
6;10000;hotpotato_normal;3193;3193
7;10000;hotpotato_normal;3244;3244
8;10000;hotpotato_normal;3246;3246
9;10000;hotpotato_normal;3247;3247
10;10000;hotpotato_normal;3402;3402
11;10000;hotpotato_normal;3220;3220
12;10000;hotpotato_normal;3236;3236
13;10000;hotpotato_normal;3195;3195
14;10000;hotpotato_normal;3228;3228
15;10000;hotpotato_normal;3199;3199
16;10000;hotpotato_normal;3268;3268
17;10000;hotpotato_normal;3212;3213
18;10000;hotpotato_normal;3217;3217
19;10000;hotpotato_normal;3273;3273
20;10000;hotpotato_normal;3218;3218
1;10000;netty_streaming;219;219
2;10000;netty_streaming;277;294
3;10000;netty_streaming;223;223
4;10000;netty_streaming;176;182
5;10000;netty_streaming;220;220
6;10000;netty_streaming;154;154
7;10000;netty_streaming;157;158
8;10000;netty_streaming;116;160
9;10000;netty_streaming;179;224
10;10000;netty_streaming;227;228
11;10000;netty_streaming;165;171
12;10000;netty_streaming;130;256
13;10000;netty_streaming;126;126
14;10000;netty_streaming;191;191
15;10000;netty_streaming;161;161
16;10000;netty_streaming;151;151
17;10000;netty_streaming;174;174
18;10000;netty_streaming;196;198
19;10000;netty_streaming;167;167
20;10000;netty_streaming;136;136
1;10000;control_streaming;242;243
2;10000;control_streaming;252;252
3;10000;control_streaming;223;223
4;10000;control_streaming;184;184
5;10000;control_streaming;171;171
6;10000;control_streaming;183;183
7;10000;control_streaming;154;154
8;10000;control_streaming;193;193
9;10000;control_streaming;180;181
10;10000;control_streaming;167;167
11;10000;control_streaming;184;184
12;10000;control_streaming;164;164
13;10000;control_streaming;192;192
14;10000;control_streaming;198;198
15;10000;control_streaming;210;210
16;10000;control_streaming;146;146
17;10000;control_streaming;196;196
18;10000;control_streaming;241;241
19;10000;control_streaming;199;199
20;10000;control_streaming;230;230
