replicant;message_count;group;send_time;recieve_time
1;100000;netty_streaming;1217;2243
2;100000;netty_streaming;1182;2278
3;100000;netty_streaming;1246;2190
4;100000;netty_streaming;1199;2493
5;100000;netty_streaming;1264;2297
6;100000;netty_streaming;1237;2327
7;100000;netty_streaming;1313;2299
8;100000;netty_streaming;1198;2233
9;100000;netty_streaming;1109;2297
10;100000;netty_streaming;1143;2188
11;100000;netty_streaming;1223;2332
12;100000;netty_streaming;1187;2353
13;100000;netty_streaming;1277;2269
14;100000;netty_streaming;1295;2300
15;100000;netty_streaming;1149;2205
16;100000;netty_streaming;1230;2215
17;100000;netty_streaming;1179;2259
18;100000;netty_streaming;1344;2365
19;100000;netty_streaming;1273;2245
20;100000;netty_streaming;1188;2271
1;100000;control_streaming;2221;2221
2;100000;control_streaming;2259;2259
3;100000;control_streaming;2052;2052
4;100000;control_streaming;2065;2065
5;100000;control_streaming;1989;1989
6;100000;control_streaming;2014;2015
7;100000;control_streaming;2308;2308
8;100000;control_streaming;1976;1976
9;100000;control_streaming;1918;1918
10;100000;control_streaming;1992;1992
11;100000;control_streaming;2059;2059
12;100000;control_streaming;1905;1905
13;100000;control_streaming;1848;1848
14;100000;control_streaming;1989;1989
15;100000;control_streaming;2035;2035
16;100000;control_streaming;1993;1993
17;100000;control_streaming;1908;1909
18;100000;control_streaming;1969;1969
19;100000;control_streaming;2041;2041
20;100000;control_streaming;2004;2004
